EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
880,Medium,MODERATE,"Key drivers: working overtime, 5 years without promotion.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Fast-track promotion review or provide stretch assignments
881,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, low job satisfaction, low monthly income (financial stress), 7 years without promotion, frequent business travel.",11,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
882,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
885,Medium,MODERATE,Key drivers: very low job satisfaction.,3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
887,Medium,MODERATE,Key drivers: very low job satisfaction.,3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
888,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction.",4,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Discuss career growth pathway and set a promotion timeline
889,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, 5 years without promotion, frequent business travel.",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
893,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
894,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
895,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress).",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
896,Medium,HIGH,"Key drivers: working overtime, poor environment satisfaction, low monthly income (financial stress).",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
897,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
899,Medium,HIGH,"Key drivers: low job satisfaction, long tenure with low satisfaction.",4,Schedule a manager-employee feedback session | Discuss career growth pathway and set a promotion timeline | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
900,Low,WATCH,"Key drivers: low monthly income (financial stress), frequent business travel.",3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
901,Low,WATCH,No critical stress signals detected. Monitor regularly.,1,Discuss career growth pathway and set a promotion timeline
902,Low,WATCH,"Key drivers: below-average work-life balance, frequent business travel.",2,Offer optional wellness / mindfulness sessions | Reduce business travel frequency or offer travel allowance
903,Medium,MODERATE,"Key drivers: working overtime, 7 years without promotion.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Fast-track promotion review or provide stretch assignments
904,High,CRITICAL,"Key drivers: working overtime, low job satisfaction, very poor environment satisfaction.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
905,High,CRITICAL,"Key drivers: very low job satisfaction, very poor environment satisfaction, 14 years without promotion, long tenure with low satisfaction.",9,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
909,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
910,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, low monthly income (financial stress).",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
911,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance, very poor environment satisfaction, low monthly income (financial stress).",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
912,Medium,HIGH,"Key drivers: very poor environment satisfaction, low monthly income (financial stress).",4,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
913,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, poor environment satisfaction, low monthly income (financial stress), 7 years without promotion.",11,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
916,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
918,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, low monthly income (financial stress), frequent business travel.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
920,Medium,MODERATE,"Key drivers: low job satisfaction, very poor environment satisfaction.",3,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
922,Medium,MODERATE,"Key drivers: below-average work-life balance, low monthly income (financial stress).",3,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
923,Medium,MODERATE,"Key drivers: below-average work-life balance, low monthly income (financial stress).",3,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
924,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline
925,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
926,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
927,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
930,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
932,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance, very low job satisfaction, low monthly income (financial stress).",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
933,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
934,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
936,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
939,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, low monthly income (financial stress).",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
940,Medium,HIGH,"Key drivers: working overtime, low job satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
941,Medium,HIGH,"Key drivers: poor environment satisfaction, low monthly income (financial stress), 5 years without promotion.",4,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments
942,Medium,HIGH,"Key drivers: working overtime, very poor work-life balance.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly)
944,High,CRITICAL,"Key drivers: below-average work-life balance, low job satisfaction, very poor environment satisfaction, long tenure with low satisfaction.",8,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
945,Medium,MODERATE,"Key drivers: below-average work-life balance, low monthly income (financial stress).",3,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
947,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
949,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
950,Medium,HIGH,"Key drivers: very low job satisfaction, 5 years without promotion, long tenure with low satisfaction.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
951,Medium,MODERATE,"Key drivers: low job satisfaction, low monthly income (financial stress).",3,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
952,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, low monthly income (financial stress).",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
954,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, very poor environment satisfaction.",5,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Implement a peer-recognition and rewards programme
956,Medium,HIGH,"Key drivers: very low job satisfaction, frequent business travel.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
957,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, long tenure with low satisfaction.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
958,Medium,MODERATE,Key drivers: low monthly income (financial stress).,3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline
959,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, low monthly income (financial stress).",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
960,High,CRITICAL,"Key drivers: very low job satisfaction, very poor environment satisfaction, low monthly income (financial stress).",9,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
961,Medium,HIGH,"Key drivers: working overtime, very poor work-life balance, 8 years without promotion.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Fast-track promotion review or provide stretch assignments
964,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
966,Medium,HIGH,"Key drivers: very low job satisfaction, 6 years without promotion.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
967,Medium,MODERATE,Key drivers: working overtime.,3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Discuss career growth pathway and set a promotion timeline
969,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
970,High,CRITICAL,"Key drivers: very poor work-life balance, very poor environment satisfaction, 11 years without promotion.",7,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
972,Medium,MODERATE,"Key drivers: below-average work-life balance, low job satisfaction.",3,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
974,Low,WATCH,"Key drivers: low monthly income (financial stress), frequent business travel.",3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
975,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
976,Low,WATCH,"Key drivers: below-average work-life balance, 7 years without promotion.",2,Offer optional wellness / mindfulness sessions | Fast-track promotion review or provide stretch assignments
977,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
981,Low,WATCH,Key drivers: 15 years without promotion.,1,Fast-track promotion review or provide stretch assignments
982,Low,WATCH,Key drivers: 7 years without promotion.,1,Fast-track promotion review or provide stretch assignments
983,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
984,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
985,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
986,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, low job satisfaction, poor environment satisfaction.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
987,Medium,MODERATE,"Key drivers: working overtime, frequent business travel.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Reduce business travel frequency or offer travel allowance
990,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
991,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
992,Low,WATCH,Key drivers: 6 years without promotion.,1,Fast-track promotion review or provide stretch assignments
994,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
995,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
996,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
997,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
998,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
999,Medium,MODERATE,"Key drivers: very poor environment satisfaction, frequent business travel.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
1001,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1002,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
1003,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
1004,High,CRITICAL,"Key drivers: working overtime, very poor environment satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1005,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
1006,Medium,HIGH,"Key drivers: below-average work-life balance, low monthly income (financial stress), frequent business travel.",4,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
1007,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1009,Low,WATCH,No critical stress signals detected. Monitor regularly.,1,Discuss career growth pathway and set a promotion timeline
1010,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance, low job satisfaction.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Schedule a manager-employee feedback session | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1011,Medium,HIGH,"Key drivers: very low job satisfaction, frequent business travel.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1012,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1013,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1014,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, 10 years without promotion.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Fast-track promotion review or provide stretch assignments
1015,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very low job satisfaction, poor environment satisfaction.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1016,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, low monthly income (financial stress).",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1017,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress), frequent business travel.",6,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1018,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1019,High,CRITICAL,"Key drivers: below-average work-life balance, very low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",9,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1022,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1024,Low,WATCH,No critical stress signals detected. Monitor regularly.,1,Discuss career growth pathway and set a promotion timeline
1025,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1026,Low,WATCH,Key drivers: 11 years without promotion.,1,Fast-track promotion review or provide stretch assignments
1027,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1028,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction.",2,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions
1029,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1030,Medium,HIGH,"Key drivers: very poor environment satisfaction, low monthly income (financial stress).",4,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1032,Medium,MODERATE,Key drivers: working overtime.,3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Discuss career growth pathway and set a promotion timeline
1033,High,CRITICAL,"Key drivers: very poor work-life balance, low job satisfaction, very poor environment satisfaction.",8,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1034,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, 6 years without promotion, frequent business travel.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1035,Medium,MODERATE,"Key drivers: poor environment satisfaction, 5 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
1036,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
1037,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
1038,Medium,MODERATE,"Key drivers: very poor environment satisfaction, 6 years without promotion.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments
1039,Medium,MODERATE,"Key drivers: working overtime, 11 years without promotion.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Fast-track promotion review or provide stretch assignments
1040,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1042,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress), 15 years without promotion, long tenure with low satisfaction.",7,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
1043,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, long tenure with low satisfaction, frequent business travel.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1044,Medium,HIGH,"Key drivers: below-average work-life balance, poor environment satisfaction, low monthly income (financial stress).",4,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1045,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1046,Low,WATCH,Key drivers: 7 years without promotion.,1,Fast-track promotion review or provide stretch assignments
1047,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction.",2,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions
1048,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance, poor environment satisfaction.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Gather anonymous feedback on workplace conditions | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1049,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1050,Medium,HIGH,"Key drivers: low job satisfaction, 6 years without promotion, long tenure with low satisfaction, frequent business travel.",5,Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1052,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
